year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,IUY,IUKU,ProfitKU,priceinvtU,shareCapU,logystar2,logxstar2,logcstar2,TobinQ
1960,14.646132,29.143753,14.048673,2.1016667,17.418333,1.6463132,1.7728758,2.5412197,-1.4094841,28.767187,15.186992,.64789659,2.9558802,-99.989998,1.9898599,-99.989998,4.3403873,7.0601315,-99.989998,-99.989998,-99.989998,12.132978,-99.989998,-99.989998,-99.989998,-99.989998,.76834393,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.108616,1.308997,22.756411,506.65292,-.43188286,-99.989998,-99.989998,-99.989998,-99.989998,-99
1961,14.853247,29.418518,13.447172,1.8558333,20.455833,1.2925202,-.061203349,2.5290966,-1.4587426,33.813931,16.569681,1.8919885,1.232375,-99.989998,1.9806119,-99.989998,4.3413825,6.789403,-99.989998,-99.989998,-99.989998,12.562344,-99.989998,-99.989998,-99.989998,-99.989998,2.5902998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.354179,1.4229811,23.738873,490.7742,-.50344235,-99.989998,-99.989998,-99.989998,-99.989998,-99
1962,15.77451,30.143707,13.661202,1.7258333,18.823334,1.1574984,1.4457725,5.9478636,-1.2027755,29.106068,15.826557,3.3144598,1.3804281,-99.989998,1.9109124,-99.989998,4.3533068,7.1490469,-99.989998,-99.989998,-99.989998,13.572752,-99.989998,-99.989998,-99.989998,-99.989998,4.5020909,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.513981,1.3909588,23.398329,507.06921,-.78395879,-99.989998,-99.989998,-99.989998,-99.989998,-99
1963,16.6164,31.00164,13.882353,2.0816667,20.259167,1.8661885,1.5734731,4.26195,-1.6114557,30.914055,16.480158,2.8587456,1.9410393,-99.989998,1.8657255,-99.989998,4.40482,7.4407263,-99.989998,-99.989998,-99.989998,14.009806,-99.989998,-99.989998,-99.989998,-99.989998,2.688477,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.351719,1.4431373,23.650385,508.0603,-1.1931312,-99.989998,-99.989998,-99.989998,-99.989998,-99
1964,16.867878,31.335564,14.243974,2.3458333,22.5525,1.6756765,2.2500677,5.6031036,-.9965362,32.665569,17.524097,2.7615168,1.9802628,-99.989998,1.8577063,-99.989998,4.3627229,7.6675057,-99.989998,-99.989998,-99.989998,13.98521,-99.989998,-99.989998,-99.989998,-99.989998,3.3530359,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.67057,1.431702,23.389021,511.91391,-.066975914,-99.989998,-99.989998,-99.989998,-99.989998,-99
1965,17.685913,32.322121,14.724504,2.7025001,23.262501,1.6163158,2.5204649,6.2960534,-.13983335,32.722546,17.847294,3.1983047,1.3902905,-99.989998,1.8275629,-99.989998,4.3924699,8.0569067,-99.989998,-99.989998,-99.989998,14.40582,-99.989998,-99.989998,-99.989998,-99.989998,3.7755885,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.176197,1.4953523,24.235807,523.85828,-1.123232,-99.989998,-99.989998,-99.989998,-99.989998,-99
1966,17.617313,31.860176,14.470125,2.7866666,21.301666,1.2133638,2.5116813,6.3874459,-.87441027,29.508068,16.95471,2.7420595,2.3423514,-99.989998,1.8084583,-99.989998,4.4164038,8.0013599,-99.989998,-99.989998,-99.989998,14.244793,-99.989998,-99.989998,-99.989998,-99.989998,3.8757646,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.910297,1.5736415,25.346535,513.16968,-1.4675657,-99.989998,-99.989998,-99.989998,-99.989998,-99
1967,16.815617,30.887939,13.813953,1.41,21.605,1.4079574,2.0344257,2.7049365,.16362384,32.474876,17.092789,.41912046,3.4208171,-99.989998,1.8368604,-99.989998,4.4804401,7.5204153,-99.989998,-99.989998,-99.989998,14.826937,-99.989998,-99.989998,-99.989998,-99.989998,.67051077,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.267941,1.6279069,24.866785,471.82288,-1.1164409,-99.989998,-99.989998,-99.989998,-99.989998,-99
1968,16.538805,30.616219,14.063995,1.0575,21.485001,1.6448714,2.0456879,4.7978773,.048276443,34.150093,17.038164,2.5277808,2.4302292,-99.989998,1.8511747,-99.989998,4.4673538,7.5973353,-99.989998,-99.989998,-99.989998,14.905629,-99.989998,-99.989998,-99.989998,-99.989998,2.7521894,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.497944,1.6583395,24.840765,458.6095,-.52211422,-99.989998,-99.989998,-99.989998,-99.989998,-99
1969,15.58774,28.978859,14.475236,1.3141667,19.4275,1.7323986,2.5515959,3.0779879,.22141859,32.335487,16.101578,-.39076248,-1.1870172,-99.989998,1.8590802,-99.989998,4.5558782,7.7862353,-99.989998,-99.989998,-99.989998,13.713548,-99.989998,-99.989998,-99.989998,-99.989998,.52639198,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.970898,1.6902516,24.397163,418.28207,-.3827306,-99.989998,-99.989998,-99.989998,-99.989998,-99
1970,14.370959,27.352089,13.984906,.6558333,15.1825,2.0273077,1.0142092,.18598263,-.72528952,27.761936,14.169226,-.71253252,2.6641932,-99.989998,1.903289,-99.989998,4.6312017,7.3477578,-99.989998,-99.989998,-99.989998,13.189196,-99.989998,-99.989998,-99.989998,-99.989998,-.82822651,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.386562,1.6677537,23.096775,378.79996,-.32055378,-99.989998,-99.989998,-99.989998,-99.989998,-99
1971,14.685773,28.61261,14.593528,.17166667,16.865833,2.2580433,.86791569,3.239037,.78173834,33.334805,14.93549,2.5765207,3.0141158,-99.989998,1.9483217,-99.989998,4.5746355,7.4903069,-99.989998,-99.989998,-99.989998,13.999001,-99.989998,-99.989998,-99.989998,-99.989998,2.3711214,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.594334,1.605288,22.666666,404.01004,-.67636621,-99.989998,-99.989998,-99.989998,-99.989998,-99
1972,14.735983,28.85331,15.518724,1.8933333,17.768333,2.7497401,3.4441109,5.1261029,.57879794,37.041138,15.346313,3.0432208,1.3902905,-99.989998,1.9580173,-99.989998,4.5309067,7.9257336,-99.989998,-99.989998,-99.989998,12.338058,-99.989998,-99.989998,-99.989998,-99.989998,1.6819921,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.988674,1.6105074,23.224352,416.07968,-.80941451,-99.989998,-99.989998,-99.989998,-99.989998,-99
1973,14.354346,28.680496,16.023573,3.8199999,16.147499,2.0408931,3.4888732,5.4916468,-.50525105,32.448776,14.6085,2.6739297,1.252128,-99.989998,1.9980357,-99.989998,4.4630737,8.0196629,-99.989998,-99.989998,-99.989998,10.05496,-99.989998,-99.989998,-99.989998,-99.989998,2.0027735,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.819862,1.5925354,23.069105,415.45914,-1.0869234,-99.989998,-99.989998,-99.989998,-99.989998,-99
1974,12.798584,27.796249,15.208387,-.026666667,10.925834,2.0349391,2.0381386,-.54127091,-1.01481,22.095922,12.231564,-3.8013442,-1.136433,-99.989998,2.1718223,-99.989998,4.4149027,7.0025926,-99.989998,-99.989998,-99.989998,12.412261,-99.989998,-99.989998,-99.989998,-99.989998,-2.5794096,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.821712,1.6502718,22.788204,383.83167,-1.5778246,-99.989998,-99.989998,-99.989998,-99.989998,-99
1975,13.816684,30.046715,13.988961,-2.5333333,10.235833,1.999251,-1.1264875,-.2070559,4.0037355,23.793646,11.917471,.6677655,3.2176731,-99.989998,2.174669,-99.989998,4.7231612,6.4326849,-99.989998,-99.989998,-99.989998,15.906567,-99.989998,-99.989998,-99.989998,-99.989998,.91943157,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.042313,1.6499496,22.880659,416.67252,-.19062071,-99.989998,-99.989998,-99.989998,-99.989998,-99
1976,14.174307,30.532944,14.620476,-.6925,11.545,1.9378114,3.3480089,5.248837,.44426137,25.117519,12.513412,3.3144598,.11992805,-99.989998,2.1541049,-99.989998,4.7140388,6.7872629,-99.989998,-99.989998,-99.989998,14.414891,-99.989998,-99.989998,-99.989998,-99.989998,1.9008281,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.838219,1.7188001,24.228743,430.40195,-1.0051841,-99.989998,-99.989998,-99.989998,-99.989998,-99
1977,13.936892,30.725029,16.259968,-.17,10.433333,1.8300486,3.6124463,4.5205717,1.1325938,21.448099,12.007375,1.9410393,1.607018,-99.989998,2.2045827,-99.989998,4.6690884,7.3755312,-99.989998,-99.989998,-99.989998,13.67749,-99.989998,-99.989998,-99.989998,-99.989998,.9081254,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.860386,1.7196656,24.554184,438.70621,-2.3346033,-99.989998,-99.989998,-99.989998,-99.989998,-99
1978,13.624437,30.411072,17.528492,1.04,9.3783331,1.7931957,4.2852921,5.3871865,1.3920856,19.656214,11.527132,1.3311014,.48880342,-99.989998,2.2320974,-99.989998,4.6579947,7.8529243,-99.989998,-99.989998,-99.989998,12.173606,-99.989998,-99.989998,-99.989998,-99.989998,1.1018944,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.320438,1.7179792,24.754902,438.20267,-1.872876,-99.989998,-99.989998,-99.989998,-99.989998,-99
1979,12.656743,29.275795,18.02611,.94833332,8.9266663,1.8078667,2.852416,3.1174781,-.042305667,19.318899,11.32153,-.84354788,-.050012503,-99.989998,2.3130591,-99.989998,4.6408048,7.793191,-99.989998,-99.989998,-99.989998,11.330769,-99.989998,-99.989998,-99.989998,-99.989998,.26506209,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.943317,1.8307768,25.749464,411.75748,-2.432924,-99.989998,-99.989998,-99.989998,-99.989998,-99
