year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,logystar2,logxstar2,logcstar2,TobinQ
1929,13.500166,32.421051,14.913958,,27.600834,.015927393,.023739208,,,26.005495,19.822132,,,-99.989998,2.4015298,-99.989998,3.7420382,6.2898088,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.54003483,-99.989998,-99.989998,-99.989998,-99
1930,12.124328,31.428574,12.689805,6.876215,21.479166,.017505385,-.044791203,-8.8832197,-.039946958,20.910492,17.035509,-6.3599043,-6.3963084,-99.989998,2.592191,-99.989998,3.8493724,5.1046023,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-8.8384285,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.50741899,-99.989998,-99.989998,-99.989998,-99
1931,10.281477,27.244583,9.9483204,12.090096,14.6675,.013211377,-.067356542,-6.6280422,3.6304848,15.803492,13.934794,-7.1407142,-7.1068931,-99.989998,2.6498706,-99.989998,4.14432,3.9980497,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-6.5606856,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.46814081,-99.989998,-99.989998,-99.989998,-99
1932,7.0908961,22.321426,7.0588236,13.492744,8.0699997,.012289304,-.082397901,-13.805287,.29252794,14.036939,10.93157,-4.9124255,-5.4781027,-99.989998,3.1478992,-99.989998,4.004271,2.5627337,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-13.72289,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.42584777,-99.989998,-99.989998,-99.989998,-99
1933,6.436306,22.065727,6.4685316,4.2620006,11.096666,.012383405,.00036798528,-1.2402883,1.5061305,23.215878,12.309328,4.0254383,4.007936,-99.989998,3.4283216,-99.989998,3.5696073,2.1417644,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-1.2406563,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.42076164,-99.989998,-99.989998,-99.989998,-99
1934,9.4123583,27.941177,7.3353295,-3.7775235,12.1975,.013236351,.057645932,10.259149,.58930993,23.907795,12.810434,3.5603983,3.0112832,-99.989998,2.9685628,-99.989998,3.6812909,2.672718,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,10.201503,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.43986863,-99.989998,-99.989998,-99.989998,-99
1935,10.991506,29.508194,8.3557949,-2.5734735,13.1225,.013289592,.03325386,8.5261469,-2.1872478,23.854019,13.231501,6.1157885,6.0621858,-99.989998,2.6846361,-99.989998,3.6646585,3.3132529,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,8.4928932,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.44873852,-99.989998,-99.989998,-99.989998,-99
1936,11.904703,30.89888,9.6698112,-.77257478,19.2575,.012838933,.054086167,12.122468,.18758091,22.487928,16.024193,14.399168,14.446765,-99.989998,2.5955188,-99.989998,3.407542,3.861881,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,12.068382,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.46763477,-99.989998,-99.989998,-99.989998,-99
1937,11.959019,29.756096,11.075269,-3.0831165,18.456667,.012518717,.046178963,4.993155,4.4842281,17.710396,15.659648,-.33135784,-.24424554,-99.989998,2.4881721,-99.989998,3.6300778,4.5808125,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,4.9469762,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.48364338,-99.989998,-99.989998,-99.989998,-99
1938,10.553701,27.966103,9.7254009,2.6284585,13.928333,.013048084,-.042706855,-3.3627565,3.8348932,22.740812,13.598321,-1.1129823,-1.1685984,-99.989998,2.6498857,-99.989998,3.7132988,3.8860104,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-3.3200495,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.45741582,-99.989998,-99.989998,-99.989998,-99
1939,11.48507,28.934013,10.706638,.96783286,15.565,.012951628,.035517752,7.718358,.49974352,20.47994,14.343342,6.6206183,6.6059446,-99.989998,2.5192719,-99.989998,3.6549087,4.4198895,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,7.6828403,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.46785527,-99.989998,-99.989998,-99.989998,-99
1940,13.085999,32.314407,11.856171,-.81131095,14.685833,.01271533,.038221214,8.4513168,1.6030613,16.64959,13.94314,9.3673439,9.4157162,-99.989998,2.4693878,-99.989998,3.5419126,4.8799686,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,8.4130955,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.47994182,-99.989998,-99.989998,-99.989998,-99
1941,15.767406,34.437088,11.600928,-6.5226665,12.2125,.011747477,.057847943,16.306757,1.1912047,13.816957,12.817263,14.791069,14.743139,-99.989998,2.184068,-99.989998,3.5056658,5.3116145,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,16.248909,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.50258529,-99.989998,-99.989998,-99.989998,-99
1942,18.84376,34.282021,5.9638553,-10.826048,9.2383337,.0061101406,.065345049,17.298574,-1.8853552,14.215346,11.463403,11.304896,11.3191,-99.989998,1.8192772,-99.989998,3.7086093,3.4437087,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,17.233229,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.53325528,-99.989998,-99.989998,-99.989998,-99
1943,21.192019,33.045357,4.0374198,-8.412075,11.0425,-.0026424818,.013306424,15.720805,-3.7533095,19.086952,12.284671,14.623288,14.643618,-99.989998,1.5593303,-99.989998,3.6311967,2.7470794,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,15.707499,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.54182833,-99.989998,-99.989998,-99.989998,-99
1944,21.835638,32.004196,4.5008912,-4.7168927,11.341666,-.017480051,-.0094070602,7.6505284,-1.0629243,19.610159,12.420854,8.1080666,8.1011028,-99.989998,1.4656863,-99.989998,3.6485255,3.2228642,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,7.6599355,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.54622018,-99.989998,-99.989998,-99.989998,-99
1945,19.222,29.726654,6.0964913,-3.3772681,13.270833,-.0089989472,-.021353124,-.98287189,-.66866946,24.207794,13.299023,3.1845851,3.0482709,-99.989998,1.5464913,-99.989998,3.5450935,4.0555873,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-.96151876,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.53951359,-99.989998,-99.989998,-99.989998,-99
1946,13.81352,26.321587,11.912087,-6.6242609,14.044167,.069659293,.044978432,-12.333825,2.3322322,23.993992,13.65105,-7.4226818,-7.6548815,-99.989998,1.9054945,-99.989998,3.2756631,6.2053056,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-12.378803,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.52636093,-99.989998,-99.989998,-99.989998,-99
1947,13.842955,28.623192,15.104167,-9.2409201,11.173333,.01716225,.045328025,-1.1531448,5.8753977,17.523762,12.344227,-3.1539686,-3.2179213,-99.989998,2.0677083,-99.989998,3.4295678,7.2466578,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-1.1984729,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,.54139704,-99.989998,-99.989998,-99.989998,-99
1948,15.202278,31.102364,16.284153,-4.7334337,10.654166,.012119217,,4.0310755,2.4459507,15.459258,12.107899,3.6042593,4.6406374,-99.989998,2.0459015,-99.989998,3.7037036,7.9594016,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.620861,-99.989998,-99.989998,-99.989998,-99
